Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Dinner,Kiribath Coconut Milk Rice,408.0,27.1,26.2,"'500g (1lb 2oz 2 1A3 cups) white rice (basmati or patna)', '1 litre (about fl oz4 cups) water', '2 tsp salt', '400ml ( fl oz 1 2A3 cups) coconut milk', 'butter, for greasing'","1. Put the rice into a medium, lidded saucepan and cover with water.
2. Swirl the rice around to wash it, drain and repeat at least twice until the water is clear.
3. Then, add the 1 litre (about fl oz4 cups) of water and bring to the boil.
4. Reduce the heat to medium, half-cover with the lid, and cook until all the water is absorbed, about minutes.
5. Then, add the salt and coconut milk and stir into the rice.
6. Cook uncovered over a low to medium heat until all the milk is absorbed, about minutes depending on the rice you use.
7. If the rice is not cooked, add extra boiling water and cook over a very low heat until soft.
8. Take the rice off the heat and set aside for a couple of minutes to cool very slightly.
9. Transfer the moist rice to a platter, and then smooth and flatten it until it is about 5cm (2 inches) tall and the same shape as the platter.
10. You can either use a spatula, or you can put your hand inside a sandwich bag and use that to shape the rice.
11. Put a little buter on the spatula or the sandwich bag for a smooth effect.
12. Leave the rice to rest for 1A2 minutes, then cut it into diamond shapes or squares while slightly warm so that the pieces do not break.
13. Serve with Pol Sambol, Katta Sambol, or Ambul Thial.",79.35
Dinner,Pol Sambol Coconut Relish,601.5,22.3,27.9,"'1 small onion, roughly chopped', '1 garlic clove, halved', '1 medium tomato, cut into quarters', '5 black peppercorns', '1 green chilli, deseeded', ' tsp chilli powder', '5 fresh curry leaves', '200g (7oz 2 cups) freshly grated or desiccated (shredded) coconut', '1 tsp Maldive fish, crushed (optional)', 'juice of lime', 'salt'","1. Place the onion, garlic, tomato, black peppercorns, green chilli, chilli powder and curry leaves in a food processor and blitz until you have a fine paste.
2. Place the paste in a medium bowl and add the coconut, Maldive fish (if using) and mix well by hand.
3. Then add the lime juice and salt to taste, mixing well.
4. A few crushed curry leaves can be used as a garnish.
5. Pictured left.",219.2
Lunch,Steel-Cut Oats With Squash And Tahini,430.1,31.9,20.9,"'2 tablespoons dairy butter or vegan butter', '1 cup steel-cut oats', '1 cup whole or unflavored, unsweetened nondairy milk', '3 cups water', '1A2 teaspoon salt', '1 cup Roasted, Mashed Butternut Squash', 'Well-stirred tahini', 'Maple syrup', 'Brown sugar', 'Flaky salt'","1. Melt the butter in a medium saucepan over medium heat, then add the oats.
2. Cook, stirring often, until they smell toasty and have darkened a shade, 3 to 4 minutes.
3. Watch that they donAt burn.
4. Pour in the milk and water and add the salt.
5. Bring to a boil, then stir once, partially cover the pan, and reduce to a gentle simmer.
6. Cook for minutes.
7. Stir in the squash, then remove from the heat. (The oatmeal will thicken as it cools; stir in additional water or milk when reheating.) To serve, spoon the hot oatmeal into bowls.
8. For each serving, drizzle with 1 to 2 tablespoons tahini, 1 to 2 teaspoons maple syrup, a small spoonful of brown sugar, and a good pinch of flaky salt.",163.41
Lunch,Roasted Mashed Butternut Squash,680.3,36.4,15.6,"'1 medium butternut squash, 3 to 4 pounds, or other similar winter squash', 'Olive oil', 'Salt'","1. Preheat the oven to .
2. Cut the squash in half lengthwise through the stem. (DonAt bother scooping out the seeds.) Rub the squash halves all over with olive oil and place each piece on a baking sheet, cut-side down.
3. Roast for minutes, then flip the squash and continue cooking until tender all over, another to minutesAyou should be able to pierce the neck of the squash with a paring knife and meet very little resistance.
4. Allow to cool, then scoop out the seeds and discard them.
5. Use a spoon to scoop all of the flesh into a bowl and discard the skins.
6. Coarsely mash the squash with a spoon or fork and season with salt.
7. Packed in an airtight container, it will keep in the refrigerator for 3 to 4 days.",77.05
Dinner,Mussel Minestrone,610.1,33.7,27.7,"'50g (about 3 tablespoons) unsalted butter', '1 small onion, diced', ' a zucchini, diced', '1 carrot (about 100g), diced', ' of a rutabaga (about 100g), diced', '1 small leek (about 100g), diced', '2 sticks of celery, diced', '2 teaspoons medium-hot curry powder', '1 bay leaf', '150ml (about cups) dry white wine', '450ml (about 2 cups) good-quality fish stock', '500ml (about 2 cup) water', '500g (about 1 lb.) mussels, cleaned, debearded and left in a bowl of clean, cold water', '1 small bunch of parsley, chopped', '4 tablespoons Greek yogurt', '4 slices of sourdough bread, toasted', '4 teaspoons mango chutney', '100g (about 7 tablespoons) butter'","1. Melt the butter in a large saucepan over a medium heat and when it starts to bubble, stir in the diced vegetables with a pinch of salt.
2. Cook, stirring regularly for minutes, until the vegetables are soft, but not yet taking on any colour.
3. Stir in the curry powder and cook for a further 2 minutes, then add the bay leaf, white wine, stock and water.
4. Turn the heat up to bring the soup to the boil, then turn the heat down and cook, uncovered, for minutes, to reduce the liquid by a third.
5. When youAre ready to eat, turn the heat up to high again, bring the soup to the boil and stir in the drained mussels, discarding any that are still open and do not close when you tap them.
6. Cover the pot with a lid and cook for 5 minutes, until the mussels have opened.
7. Remove the mussels with a slotted spoon and discard any that have remained closed.
8. Remove the mussels from their shells and return the meat to the soup.
9. Ladle the minestrone into warmed bowls.
10. Stir half of the parsley through the yogurt, and serve with the toasted sourdough topped with mango chutney, butter and the remaining parsley.",365.5
Lunch,One-Pot Pie With Callaloo Plantain Goat Cheese And Cornmeal Crust,693.3,33.5,29.4,"'1 stick cold butter', '1 cups all-purpose flour plus more for rolling', ' cup yellow cornmeal', ' teaspoon sea salt', ' cup Parmesan cheese', '2 tablespoons olive oil, divided', '2 cloves garlic, diced, divided', '1 small yellow onion, chopped, divided', '2 tablespoons chopped red bell pepper, divided', '1 or 2 Scotch bonnet peppers, seeded and diced, divided', '2 tablespoons fresh thyme leaves, divided', '2 scallions, diced, divided', '4 cups callaloo chiffonade', ' cup heavy cream, divided', '2 cups cubed ripe plantain (1-inch cubes)', 'Salt and freshly cracked black pepper to taste', ' cup canned corn kernels', '2 tablespoons chopped cilantro', '1 tablespoon butter', '1 tablespoon chopped scallion', ' cup dry white wine', ' cup heavy cream', ' cup whole milk', '1 tablespoon fresh thyme leaves', '2 tablespoons grated Parmesan cheese', '8 ounces fresh mozzarella cheese, cut into -inch cubes', ' cup grated Parmesan cheese, divided', ' cup goat cheese', '1 egg, beaten'","1. Cut the chilled butter into very small pieces.
2. Mix the flour, cornmeal, and sea salt in a food processor; add the butter, and pulse until the mixture is a sandy texture that resembles breadcrumbs.
3. Transfer to a bowl, and add half the Parmesan cheese, mixing with a fork or knife until combined. (Reserve remaining cheese for topping the pie.) Measure out 4 tablespoons of ice-cold water, and add to the flour mixture a little at a time until the dough sticks together, mixing just long enough to create a mass.
4. Do not overmix.
5. Wrap the dough in plastic wrap or place in a plastic bag; hold it in the refrigerator for at least minutes.
6. Remove one hour before use to bring to room temperature.
7. Heat 1 tablespoon olive oil in a large sautA pan over medium heat.
8. Add half the garlic, onion, bell pepper, Scotch bonnet pepper, thyme, and scallion; cook for about 5 minutes until soft.
9. Add the callaloo and cook down for about 8 minutes, until it turns bright green.
10. Stir in cup heavy cream.
11. Remove from heat and allow to cool.
12. Season with salt and pepper to taste.
13. Heat 1 tablespoon olive oil in another sautA pan over medium heat, and add the remaining garlic, onion, bell pepper, Scotch bonnet pepper, thyme, and scallion; sautA for about 1 minute.
14. Add the plantain and cook, stirring occasionally, for another 5 minutes.
15. Add the corn and cilantro, and sautA for another minute.
16. Add cup heavy cream, and season to taste with salt and pepper.
17. Melt 1 tablespoon butter in a saucepan over medium heat.
18. Add 1 tablespoon chopped scallion.
19. Add the white wine, and cook, stirring, until the wine is evaporated.
20. Stir in the heavy cream and whole milk.
21. Bring to a simmer.
22. Allow to simmer for about 5 minutes, until the sauce is reduced.
23. Stir in the thyme and Parmesan cheese.
24. Preheat the oven to .
25. On a lightly floured surface, roll out two-thirds of the pastry into a large circle, and use it to line the base and sides of an 8-inch pie dish or casserole.
26. Layer half the plantain mixture in the bottom, then distribute half the mozzarella and a sprinkle of Parmesan on top of that.
27. Cover with half the callaloo mixture, then half the goat cheese and more Parmesan.
28. Repeat the layers in the same order with the remaining plantain filling, mozzarella, Parmesan, callaloo filling, goat cheese, and more Parmesan.
29. Pour the sauce over the assembled pie.
30. On a lightly floured surface, roll out the rest of the pastry into an 8-inch round; lay it on top of the pie, trimming away any excess pastry and crimping the edges to seal well.
31. Score an X in the middle of the top crust with a sharp knife.
32. Brush the top of the pie with the beaten egg, scatter with the rest of the Parmesan, and chill for at least minutes.
33. Bake for to minutes until the pastry is golden-brown on top.
34. Allow to cool in the pan for minutes before serving.",584.95
Lunch,Chicken And Black Bean Nachos,512.0,21.2,22.2,"'2 tablespoons safflower oil', '1 small white onion, chopped', '1 (-ounce425 g) can black beans, drained and rinsed', ' teaspoon ground cumin', ' teaspoon dried oregano', 'Coarse salt and freshly ground black pepper', ' ounces ( g) tortilla chips', '2 cups ( g) shredded cooked chicken', '1 A cups ( ounces284 g) shredded Monterey Jack cheese', ' cups ( ounces454 g) salsa, store-bought or salsa verde', '1 avocado, pitted, peeled, and coarsely chopped', '1 jalapeAo, thinly sliced', 'Sour cream, for serving'","1. Preheat the oven to () with the rack in the center position.
2. Heat the safflower oil in a -inch ( cm) skillet over medium-high heat.
3. Add the onions and sautA until translucent, about 3 minutes.
4. Add the black beans, cumin, and oregano.
5. Season to taste with salt and pepper.
6. Remove from the heat.
7. Arrange one-third of the tortilla chips on a baking sheet or oven-safe platter.
8. Top with one-third each of the black beans, chicken, cheese, and salsa.
9. Repeat this layering twice more.
10. Transfer to the oven and bake until the cheese is melted throughout, to minutes.
11. Remove from the oven and top with the avocado, jalapeAo, and dollops of sour cream.
12. Serve immediately.",285.27
Lunch,Ackee Tacos With Island Guacamole,481.4,36.1,10.7,"'3 medium avocados, peeled, pitted, and sliced', '1 to 2 plum tomatoes, seeded and diced', '3 tablespoons diced red onion', ' cup diced pineapple or mango', '1 tablespoon lime juice', '1 tablespoon orange juice', '1 teaspoon orange zest', '1 teaspoon minced Scotch bonnet pepper', '2 tablespoons olive oil', '3 to 4 tablespoons chopped cilantro', 'Salt and freshly cracked black pepper to taste', '2 to 3 tablespoons coconut oil or other vegetable oil', '1 small yellow onion, diced', '1 plum tomato, diced', '2 cloves garlic, diced', '4 tablespoons diced bell pepper', ' teaspoon seeded and minced Scotch bonnet pepper', '1 stalk scallion', '2 dozen frozen ackee or 2 cans ackee, drained (or 2 cups ackee, cooked from fresh)', '1 teaspoon thyme leaves', ' teaspoon chili powder', 'Salt and freshly cracked black pepper to taste', ' taco shells (either soft or crunchy)', ' cup grated sharp cheddar cheese', '1 cup shredded lettuce or purple cabbage', '1 large handful chopped fresh cilantro', 'Salsa (optional)', 'Sour cream (optional)'","1. Dice or mash the avocado depending on your preference; it can have a more salsa-like texture if preferred.
2. Add the remaining guacamole ingredients, gently stirring to combine.
3. Refrigerate until you are ready to assemble the tacos.
4. Heat the oil in a sautA pan over medium-high heat.
5. Add the onion, tomato, garlic, bell pepper, Scotch bonnet pepper, and scallion, and cook until the ingredients are soft, about 3 minutes.
6. Add the ackee, thyme, chili powder, salt, and pepper, gently folding the ingredients together.
7. Cook for 5 to 8 minutes or until the mixture is heated through; remove from heat.
8. Serve assembly-line style, with the ackee mixture, guacamole, grated cheese, shredded lettuce or cabbage, cilantro, salsa, and sour cream (if using) in colorful bowls next to a basket of soft or hard taco shells.
9. Alternately, serve a large platter of already assembled tacos: fill each shell with a few tablespoons of ackee, layer with lettuce, guacamole, and cheese, and top with a mound of fresh cilantro for a mouthful of exotic flavor.
10. Serve with salsa andor sour cream if you wish.",502.45
Lunch,Watermelon Lime And White Pepper Yogurt Drink,542.5,35.1,15.3,"'1 cups g cubed watermelon, cut in 1-in 2.5-cm cubes', '1 generous cup g ice cubes', '1 cup ml soda water', ' cup g plain yogurt', ' cup ml fresh lime juice', '2 Tbsp honey', ' tsp white pepper', 'Pinch of salt'","1. Blend the watermelon, ice cubes, soda water, yogurt, lime juice, honey, white pepper, and salt in a blender until well combined.
2. Pour into a glass and serve immediately.",120.77
Lunch,Watermelon Chia Smoothie,457.0,16.8,28.2,"'1 cup ( g) watermelon chunks, seeds removed', '1A4 cup ( g) frozen strawberries', '1A4 cup ( g) frozen cauliflower florets', '2 fresh mint leaves', '1 tablespoon chia seeds', '1A2 cup ( ml) coconut water, herbal iced tea, or milk of choice'",1. Combine all the ingredients in a blender and blend until smooth.,138.72
Lunch,Secret Mango Creamsicle Smoothie,440.8,37.0,14.2,"'1A2 cup ( g) frozen mango chunks', '1A2 ripe persimmon (Hachiya or Fuyu), stemmed', '1 small carrot, peeled and chopped (about 1A4 cup32 g)', '1 tablespoon almond butter', '1 teaspoon flax seeds or flaxseed meal', '1 teaspoon hemp seeds', '1A4 teaspoon ground cinnamon or favorite spice blend', '1 cup ( ml) coconut milk beverage or almond milk, or milk of choice'",1. Combine all the ingredients in a blender and blend until smooth.,121.11
Dinner,Blueberry Muffin Smoothie,627.0,37.8,27.0,"'1A2 cup ( g) fresh or frozen blueberries', '1A2 fresh or frozen banana, peeled', '1A2 cup ( ml) plain or vanilla Greek yogurt', '1A4 cup ( g) old-fashioned oats', '1A4 teaspoon lemon zest', '1A2 cup ( ml) milk of choice'",1. Combine all the ingredients in a blender and blend until smooth.,85.63
Dinner,Apple Pie Smoothie,427.2,21.7,23.3,"'1 Gala, Fuji, or other sweet apple, cored, seeded, and cut into chunks', '1A2 cup ( ml) plain or vanilla yogurt (vegan yogurt works too)', '2 tablespoons old-fashioned oats', '4 raw walnut halves', '1 dried date, pitted', '1 tablespoon chia seeds', '1A2 teaspoon ground cinnamon', '1A4 cup ( ml) milk of choice', '1A4 cup ice'",1. Combine all the ingredients in a blender and blend until smooth.,253.38
Dinner,Bean Lavash Triangles,641.7,30.7,13.8,"' cup plus 2 Tbsp ml sunflower oil or other neutral oil, plus more as needed', ' yellow onion, finely diced', '2 (.5 oz g) cans cranberry or pinto beans, drained, or 3 cups g cooked homemade beans', '1 tsp kosher salt', ' tsp ground black pepper', '2 Tbsp chopped cilantro', '1 Tbsp chopped dill', '4 large sheets homemade or store-bought (see note) Lavash'","1. To make the filling, in a medium saucepan over medium-high heat, warm 2 Tbsp ml of the oil.
2. Stir in the onion, lower the heat to medium, and cook, stirring occasionally, until translucent, about 4 minutes.
3. Stir in the beans, salt, and pepper and cook until the beans absorb some of the seasoning and are hot all the way through, about 2 minutes.
4. Turn off the heat.
5. Using a potato masher or an immersion blender, mash the beans in the pot to make a paste.
6. Mash in the cilantro and dill and let cool to room temperature.
7. Cut the lavash into strips 3 in 7.5 cm thick and about in .5 cm long.
8. Keep cut lavash covered or in a plastic bag so the strips donAt dry out.
9. To shape each triangle, position a strip of lavash in front of you vertically.
10. Place about 2 Tbsp of bean paste at the bottom end of the strip.
11. Pull the bottom left corner of the strip to the right side, about 3 in 7.5 cm up from the bottom, to create a triangle that encases the beans.
12. Next, take the bottom right corner of the triangle and fold it away from you to the left edge of the lavash to enclose the filling, ArollingA the triangle up the lavash and adding a layer to the triangle.
13. Continue to fold the triangle all the way up the strip until all of the lavash is used up.
14. If any extra lavash hangs off the edge, trim it with scissors.
15. Once finished, place the triangle seam-side down and repeat with the remaining strips and filling.
16. Line a plate with paper towels.
17. Heat 2 Tbsp of oil in a large sautA pan over medium-high heat.
18. Place half of the triangles seam-side down in the oil and fry until golden brown on one side, about 1 minute, adjusting the heat as needed to prevent the lavash from burning.
19. Flip the triangles over to brown the other side, seconds to 1 minute more.
20. Transfer to the paper towelAlined plate and repeat with the remaining oil and triangles.
21. If the pan seems too dry after flipping over the triangles, add more oil.
22. Let cool slightly before serving.
23. Leftovers keep, refrigerated, for up to 3 days and can be reheated in a toaster oven for 3 to 5 minutes until hot in the center.",156.64
Lunch,Pineapple Blackberry And Basil Smoothie,697.8,35.6,24.4,"'1 cup chopped fresh pineapple', '1 cup blackberries', ' cup basil leaves', '1 cup coconut water', 'Juice of lime'","1. In a blender, combine all the ingredients and process until smooth.",98.64
Lunch,Morning Sunrise Smoothie,414.1,18.8,15.0,"'2 medium carrots, diced', '1 cup fresh or frozen pineapple chunks', '2-inch piece fresh ginger, peeled and roughly chopped', '1 tablespoon coconut oil', '1 teaspoon ground turmeric', 'Juice of 1 lemon', '1 cup water'","1. In a blender, combine all of the ingredients and process until smooth.",128.72
Snack,Black-And-White-And-Green Cookies,246.8,8.6,5.9,"'2 tsp. baking powder', ' cups ( g) all-purpose flour, plus more for dusting', ' tsp. kosher salt, plus more', '2 cups (packed; g) mint leaves', '1 cup ( g) granulated sugar', ' cups ( sticks) unsalted butter, room temperature', '1 large egg', '1 large egg yolk', 'Coarse sanding sugar or Swedish pearl sugar (for decorating)', '1 cup ( g) powdered sugar', '2 Tbsp. ( g) Dutch-process or unsweetened cocoa powder', '1 Tbsp. light corn syrup', 'Special Equipment: A 3""-diameter cookie cutter'","1. Whisk baking powder, cups flour, and tsp. salt in a medium bowl to combine.
2. Pulse mint and granulated sugar in a food processor until mint is finely chopped.
3. Add butter; process to combine.
4. Add dry ingredients and pulse again to combine.
5. Add egg and egg yolk; pulse until a shaggy dough forms.
6. Turn out dough onto a lightly floured surface and knead just until dough holds its shape.
7. Divide dough in half; pat each portion into a 1""-thick disk.
8. Wrap disks in plastic and chill until firm, at least 2 hours.
9. Place racks in upper and lower thirds of oven; preheat to .
10. Working with 1 disk at a time, roll out dough on a lightly floured sheet of parchment paper to about "" thick, dusting with more flour as needed to keep from sticking.
11. Punch out rounds with lightly floured cookie cutter and arrange on 2 parchment-lined baking sheets, spacing 1"" apart.
12. Pat dough scraps into a 1""-thick disk.
13. Wrap in plastic and chill minutes if soft.
14. Repeat process with scraps.
15. Hold a bench scraper or straightedge upright 1"" from edge of a cookie to cordon off a shallow semicircle (do not press down into dough; youAre just making a barrier).
16. Coat semicircle with sanding sugar; gently press to adhere.
17. Remove scraper; you should have a tidy sugared edge.
18. Repeat with remaining cookies and more sanding sugar.
19. Bake cookies, rotating baking sheets top to bottom and back to front halfway through, until edges are lightly browned, minutes.
20. Let cool minutes on baking sheets, then transfer to 2 wire racks set inside 2 rimmed baking sheets; let cool completely.
21. Sift powdered sugar and cocoa powder into a medium bowl.
22. Add corn syrup, a pinch of salt, and 2 Tbsp. warm water and stir until smooth and glossy.
23. Position bench scraper to make another shallow semicircle on the other side of the cookie, angling it so that it forms a V with the sugared edge, lightly pressing scraper into cookie to make a barrier.
24. Spoon 1 tsp. glaze onto exposed semicircle and use a toothpick to help coat evenly; excess will drip over sides.
25. Lift scraper straight up and over chocolate side to create a neat edge.
26. Repeat with remaining cookies and glaze.
27. Let sit until glaze is set, at least 2 hours.
28. Do Ahead: Dough can be made 1 month ahead; freeze.
29. Thaw in refrigerator before using.
30. Cookies can be baked 1 day ahead; store tightly wrapped on a rimmed baking sheet at room temperature.",255.42
Lunch,Chewy Ginger-Rye Cookies,606.9,20.6,16.3,"'1 cup ( g) all-purpose flour', ' tsp. baking soda', ' tsp. ground cinnamon', ' tsp. ground cloves', ' cup ( g) plus 6 Tbsp. ( g) rye flour, divided', '3 tsp. ground ginger, divided', ' tsp. kosher salt, divided', 'A cup ( g) finely chopped crystallized ginger', 'A cup robust-flavored (dark) molasses', ' cup (packed; g) dark brown sugar', ' cup ( sticks) unsalted butter, melted, plus 2 Tbsp. unsalted butter, room temperature', '2 large egg yolks', '6 Tbsp. ( g) raw sugar'","1. Whisk all-purpose flour, baking soda, cinnamon, cloves, cup rye flour, 2 tsp. ground ginger, and 1 tsp. salt in a medium bowl to combine; add crystallized ginger and toss until coated and evenly distributed.
2. Whisk molasses, brown sugar, and cup melted butter in a medium bowl to combine.
3. Add egg yolks and whisk just until egg yolks are absorbed but mixture is still very dark, about seconds.
4. Add dry ingredients and fold until no streaks of flour remain.
5. Let sit, uncovered, at room temperature minutes (batter will thicken as it sits).
6. Meanwhile, place a rack in middle of oven; preheat to .
7. Whisk raw sugar, remaining 6 Tbsp. rye flour, remaining 1 tsp. ground ginger, and remaining tsp. salt in a small bowl to combine.
8. Add remaining room-temperature butter and smash together until mixture resembles clumpy wet sand; this is your streusel topping.
9. Using a 1-oz. ice cream scoop, portion out dough (about 2 Tbsp. each) and roll into balls between your palms.
10. Working one at a time, toss balls in streusel mixture to coat and place on 2 parchment-lined baking sheets, spacing 3"" apart.
11. Bake 1 sheet of cookies until they have spread and are slightly cracked and just set around the edges and streusel is lightly browned, minutes.
12. Let cool minutes on baking sheet.
13. Transfer to a wire rack and let cool completely.
14. Bake remaining sheet of cookies.
15. Do Ahead: Dough can be rolled into balls 2 weeks ahead.
16. Freeze on a baking sheet; transfer to resealable plastic freezer bags.
17. Let sit at room temperature minutes before rolling in streusel and baking.",265.24
Lunch,Malaysian Chicken Curry With Buttermilk Beer Beignets,578.2,35.9,11.7,"'1 A tablespoons Yeo brand Malaysian curry powder', '1 teaspoon sugar', '1 teaspoon kosher salt', '1 teaspoon chicken bouillon', '1 pound dark meat chicken (cut, uncut, bone-on, boneless)', 'A cup coconut milk', '2 A tablespoons whole milk', '2 teaspoons sambal badjak (an Indonesian chili paste with minced onions and dried shrimp)', ' yellow or white onion, sliced', '2 makrut lime leaves, ripped in half widthwise', 'A pound Okinawan sweet potatoes (aka Hawaiian purple sweet potatoes), peeled and cut into 1-inch cubes', 'A pound carrots, cut into 1 -inch-long pieces', 'Buttermilk Beer Beignets (optional)', 'Scallions, coarsely chopped, for garnish'","1. Combine curry powder, sugar, salt, and chicken bouillon in a mixing bowl and hand mix together until itAs all one love, one mix.
2. Rinse chicken under water, pat dry with paper towels, then transfer to a mixing bowl.
3. Next, pour the beautiful curry spice mix all over that chicken.
4. Mix and rub the spices all over the chicken until no chicken remains uncovered with spice.
5. Cover it all up, like itAs your only goal in life.
6. Marinate overnight.
7. Alternatively, if youAre in a hurry, marinate for 1 hour, though the curry mix wonAt fully penetrate the chicken or touch the souls of others, which is what eating is all about.
8. When ready to cook, youAll need a pan to sautA with and a pot for stewing and braising.
9. Combine coconut milk, whole milk, and sambal badjak in pot.
10. Next, heat the sautA pan to medium-high heat.
11. Add a little bit of cooking oil, add some onions and some lime leaves, and sear batches of chicken until chicken turns golden brown all around, while sweating onions and leaves.
12. Do not cook the chicken through; just brown and sear.
13. The lime leaves will fill your kitchen with their incredible citrus scentAa pretty amazing smell.
14. After each batch is evenly seared, transfer into pot.
15. To ensure the chicken cooks evenly, do not heat up the pot until all chicken is seared.
16. Continue searing onions, lime leaves, and chicken.
17. Once all chicken is seared, sautA any remaining lime leaves, and onions, and transfer to the pot before cooking.
18. If there is any excess spice mix in the chicken marinade bowl, also transfer into the pot because the spice mix is measured specifically to give the best flavor for the curry sauce itself and not just the marinade.
19. Bring pot to a boil over high heat, then simmer covered with a slight opening for minutes, or until the chicken is tender but not falling apart.
20. The curry consistency should be thin and almost milky.
21. Once chicken is done, turn off heat.
22. While waiting for the chicken to finish cooking, prepare an ice water bath in a bowl.
23. Bring 2 inches of water to a rolling boil in a pot over high heat.
24. Cook the sweet potatoes in the boiling water for 6A8 minutes.
25. Check often to see when the potatoes are cooked through; they should be crunchy, still firm and not mushy.
26. Once theyAre done, remove the potatoes from pot (but do not dump the boiling water; save it for blanching the carrots) and shock them immediately in the ice water bath for 2 minutes, or until they are completely cool to the touch.
27. Strain and set aside cooked potatoes in a fresh bowl.
28. Next, blanch the carrots by repeating the steps as for the potatoes, checking for nonmushy doneness.
29. If you use baby carrots, they take about 4A5 minutes to blanch.
30. Adjust time accordingly for the type of carrots youAre using and how theyAre cut.
31. Cook, shock, strain, then set aside with the potatoes.
32. Chicken can be served immediately, but it will be most flavorful if cooled down, stored, and covered overnight in the fridge, and then reheated and served the next day.
33. Blanched potatoes and carrots can also be stored overnight.
34. When ready to serve (not long beforeAjust right when you are ready to serve), add carrots and potatoes to the hot chicken curry.
35. Garnish with scallions.
36. Serve with steamed rice, and if you want to soak up that curry deliciousness (my favorite part), sop it up with some Buttermilk Beer Beignets.
37. And thatAs the best experience with chicken curry that you can haveAreaching the epitome of chicken curry enlightenment.
38. Enjoy, kids!",332.32
Lunch,Tea-Totaleras Toddy,455.0,32.1,20.3,"'6 jasmine green tea bags', ' cup honey', ' sprigs mint, divided', '6 lemons, divided'","1. Bring 3 quarts water to a boil in a medium pot.
2. Remove from heat and add tea bags, honey, and 6 mint sprigs.
3. Cover and let sit 8 minutes.
4. Using a slotted spoon, remove tea bags and mint, gently pressing with a spoon to extract as much liquid as possible.
5. Meanwhile, slice 4 lemons in half and squeeze juice into a small bowl.
6. Slice remaining 2 lemons into rounds; remove seeds.
7. Add lemon juice, lemon slices, and remaining 6 mint sprigs to hot toddy.
8. Ladle into mugs.",98.73
Snack,Almond Pad Thai With Shiritaki Noodles,162.5,2.0,0.1,"'2 tablespoons coconut oil', '2 cups broccoli florets', '2 cups shredded peeled carrots', ' red pepper, thinly sliced', ' cup peas', '6 tablespoons coconut aminos', '2 tablespoons smooth almond butter', '2 tablespoons filtered water', '1 (7-ounce) package fettuccine shirataki noodles, prepared according to package instructions', ' cup thinly sliced green onions', '2 tablespoons sesame seeds'","1. In a large skillet over medium-high heat, heat the coconut oil.
2. Add the broccoli, carrots, red pepper, and peas and sautA until tender, 6 to 8 minutes.
3. Whisk the coconut aminos, almond butter, and water in a small bowl.
4. Add the shirataki noodles and amino blend to the skillet and mix to incorporate.
5. Top with the green onions and sesame seeds.",217.5
Lunch,Spicy Citrus Refresher,562.4,24.0,23.8,"'4 limes', '7 navel oranges, divided', '2 small jalapeAos, divided', '1 cup sugar', ' tsp. kosher salt', 'Club soda (for serving)'","1. Juice limes and 6 oranges into a large pitcher. (You should have about cup lime juice and cups orange juice.) Discard lime rinds and half of the orange rinds.
2. Cut remaining orange rinds into quarters and place in a large saucepan.
3. Coarsely chop 1 jalapeAo and add to orange rinds along with sugar and salt.
4. Using a muddler or dowel-style rolling pin, muddle rinds until thoroughly smooshed and much of the sugar and salt is dissolved, about 3 minutes.
5. Stir in 1 cup warm water and let sit at least minutes and up to 1 hour.
6. Strain orange mixture through a fine-mesh sieve into pitcher with juice, gently pressing with a spoon to extract as much liquid as possible; discard solids.
7. Thinly slice remaining orange and add to pitcher.
8. Remove seeds from remaining jalapeAo; thinly slice into rounds and add to pitcher.
9. To serve, pour 2 oz. juice mixture into an ice-filled glass.
10. Top off with club soda; stir to combine.
11. Do Ahead: Juice mixture can be made 2 days ahead.
12. Cover and chill.",91.32
Lunch,Shirley Tonic,432.0,16.5,14.8,"'3 (3A) cinnamon sticks', '1 (4A) piece ginger, thinly sliced lengthwise', ' whole cloves', '6 cups pomegranate juice', 'A cup sugar', 'Club soda and lemon twists (for serving)'","1. Bring cinnamon sticks, ginger, cloves, pomegranate juice, and sugar to a boil in a medium saucepan.
2. Cook until reduced to cups, about minutes.
3. Strain syrup through a fine-mesh sieve into a heatproof measuring glass; discard solids.
4. Let cool.
5. To serve, pour 1 oz. pomegranate syrup into a tall ice-filled glass.
6. Top off with club soda and stir to combine; garnish with a lemon twist.
7. Do Ahead: Syrup can be made days in ahead.
8. Chill in an airtight container.",122.25
Lunch,Pine Nut And White Bean Dip,679.4,15.1,19.9,"' cup pine nuts', ' cup grapeseed or vegetable oil', '1 garlic clove', '1 (-oz.) can cannellini (white kidney) beans, rinsed', ' tsp. kosher salt', ' tsp. freshly ground black pepper'","1. Set a mesh sieve over a small bowl.
2. Heat a small saucepan over medium-low.
3. Combine nuts and oil in pan and cook, swirling often, until nuts are golden brown, about 5 minutes (cut 1 in half to check doneness in the center).
4. Scrape into sieve and let drain.
5. Transfer nuts to paper towels to drain further.
6. Finely grate garlic into oil.
7. Blend beans, salt, pepper, three-fourths of nuts, and cup water in a blender until very smooth.
8. With motor running, gradually stream in garlic oil; blend until combined.
9. Transfer dip to a small bowl and spoon remaining nuts over.
10. Do Ahead: Dip can be made 2 days ahead.
11. Cover and chill.
12. Let come to room temperature before serving.",76.83
